name,price,url,category,city,metric
Natural Hot Washed PET Bottle Flake,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-23633018497.html,pet-bottle-flake,ahmedabad,kg
Colored Pet Bottle Flakes,₹50/ kg,https://www.indiamart.com/proddetail/unwashed-mix-pet-bottle-flakes-2850982507097.html,pet-bottle-flake,ahmedabad,kg
Natural Hot Washed Pet Bottle Flakes,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2849540744955.html,pet-bottle-flake,ahmedabad,kg
Natural Hot Washed Pet Flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-flakes-2851775610812.html,pet-bottle-flake,ahmedabad,kg
Natural Hot Washed Pet Bottle Flakes,₹85/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-26561140662.html,pet-bottle-flake,ahmedabad,kg
Mixed Pet Bottles Flakes,₹18/ kg,https://www.indiamart.com/proddetail/pet-bottles-flakes-15228874562.html,pet-bottle-flake,ahmedabad,kg
"PET Bottle Flakes, Packaging Type: Pp Bag",₹50/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22605371030.html,pet-bottle-flake,ahmedabad,kg
Milky White Pet Flakes,₹65/ kg,https://www.indiamart.com/proddetail/pet-flakes-2850803046512.html,pet-bottle-flake,ahmedabad,kg
"Green Hot Washed Recycled PET Bottle Flakes G 2, Packaging Type: Plastic Bag, Packaging Size: 50 Kg",₹58/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-g-2-19219998412.html,pet-bottle-flake,ahmedabad,kg
Blue Hot Washed Plastic Bottle Flakes,₹62/ kg,https://www.indiamart.com/proddetail/plastic-bottle-flakes-24618915991.html,pet-bottle-flake,ahmedabad,kg
Natural Hot Washed Pet Flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-flakes-24825024633.html,pet-bottle-flake,ahmedabad,kg
clear Hot Washed Pet Bottle Scrap,₹48/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-2851568495030.html,pet-bottle-flake,ahmedabad,kg
Natural Pet Flakes,₹64/ kg,https://www.indiamart.com/proddetail/pet-flakes-27095474830.html,pet-bottle-flake,ahmedabad,kg
Milky White PET Bottle Flakes Scrap,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-21100751291.html,pet-bottle-flake,ahmedabad,kg
Pet Bottle Powder,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-powder-2851091023630.html,pet-bottle-flake,ahmedabad,kg
"Pet Bottle Flake, Packaging Type: Plastic Bag, Packaging Size: 30-500 Kg",₹65/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-20727930991.html,pet-bottle-flake,ahmedabad,kg
Cold Washed Blue PET Bottle Flake,₹60/ kg,https://www.indiamart.com/proddetail/blue-pet-bottle-flake-2851358658748.html,pet-bottle-flake,ahmedabad,kg
Hot Washed 500gm Green PET Bottle Flake,₹57/ kg,https://www.indiamart.com/proddetail/500gm-green-pet-bottle-flake-2850424137833.html,pet-bottle-flake,ahmedabad,kg
White Hot Washed Clear PET Flakes,₹54/ kg,https://www.indiamart.com/proddetail/clear-pet-flakes-2851833980891.html,pet-bottle-flake,ahmedabad,kg
"White PET Flake, Packaging Type: PP Bag, Packaging Size: 35 Kg",₹57/ kg,https://www.indiamart.com/proddetail/white-pet-flake-21558730388.html,pet-bottle-flake,ahmedabad,kg
Clear Pet Flakes,"₹3,000/ kg",https://www.indiamart.com/sarvatipolitec-limited/,pet-bottle-flake,agra,kg
Flake PET Granules,₹80/ kg,https://www.indiamart.com/proddetail/flake-pet-granules-20988380888.html,pet-bottle-flake,amritsar,kg
Plastic Chair Flakes,₹46/ kg,https://www.indiamart.com/msr-industries-allahabad/,pet-bottle-flake,allahabad,kg
"Silver Cast Iron Scrap, For Metal Industry",₹48/ kg,https://www.indiamart.com/proddetail/silver-cast-iron-scrap-27016372962.html,ferrous-metal-scrap,ahmedabad,kg
"Metal Iron Sheet and Machinery Scrap, For Industrial, Packaging Type: Loose","₹41,000/ tonne",https://www.indiamart.com/proddetail/iron-sheet-and-machinery-scrap-21797109012.html,ferrous-metal-scrap,ahmedabad,tonne
"Galvanized Steel Scrap, Plate Offcuts, Thickness: 0.5 To 3 Mm","₹39,500/ metric",https://www.indiamart.com/proddetail/galvanized-steel-scrap-22004488712.html,ferrous-metal-scrap,ahmedabad,metric
"Aluminium Radiator Scrap, For Melting",₹125/ kg,https://www.indiamart.com/proddetail/aluminium-radiator-scrap-21464213091.html,ferrous-metal-scrap,ahmedabad,kg
"Aluminium Radiator Scrap, For Metal Industry",₹110/ kg,https://www.indiamart.com/proddetail/aluminium-radiator-scrap-23316274797.html,ferrous-metal-scrap,ahmedabad,kg
Non Ferrous Scrap Metal,"₹2,000/ kg",https://www.indiamart.com/proddetail/non-ferrous-scrap-metal-2869281248.html,ferrous-metal-scrap,ahmedabad,kg
"Ss 316 Shaded Foundary Scrap, For stainless steel",₹250/ kg,https://www.indiamart.com/proddetail/ss-316-shaded-foundary-scrap-2849923694530.html,ferrous-metal-scrap,ahmedabad,kg
"Ci Cast Iron Scrap, For Foundry Industry",₹31/ kg,https://www.indiamart.com/proddetail/cast-iron-scrap-22828144588.html,ferrous-metal-scrap,ahmedabad,kg
"Cast Iron Scraps Hms 1, For Metal Industry",₹51/ kg,https://www.indiamart.com/proddetail/cast-iron-scraps-hms-1-26408923173.html,ferrous-metal-scrap,ahmedabad,kg
Automobile Industry Cast Iron Scrap,₹21/ kg,https://www.indiamart.com/proddetail/automobile-industry-cast-iron-scrap-21277918933.html,ferrous-metal-scrap,ahmedabad,kg
"ALUMINIUM DIRTY REDIATOR SCRAP, For Metal Industry, 25 Kg",₹135/ kg,https://www.indiamart.com/proddetail/aluminium-dirty-rediator-scrap-26083780062.html,ferrous-metal-scrap,ahmedabad,kg
"Silver Aluminium Radiator Scrap, For Metal Industry",₹130/ kg,https://www.indiamart.com/proddetail/silver-aluminium-radiator-scrap-2852157365612.html,ferrous-metal-scrap,ahmedabad,kg
"Cast Iron Scraps, For Industries","₹39,000/ tonne",https://www.indiamart.com/proddetail/cast-iron-scraps-2851011190888.html,ferrous-metal-scrap,ahmedabad,tonne
"Cast Iron Scrap, For Foundry Industry, 50 Kg","₹42,500/ tonne",https://www.indiamart.com/proddetail/cast-iron-scrap-2850087393888.html,ferrous-metal-scrap,ahmedabad,tonne
"6 inch Iron Rail Scrap, For Casting",₹48/ kg,https://www.indiamart.com/proddetail/6-inch-iron-rail-scrap-2851509902348.html,ferrous-metal-scrap,ahmedabad,kg
60 kg Used Rail Track,"₹30,000/ tonne",https://www.indiamart.com/proddetail/60-kg-used-rail-track-19160430488.html,ferrous-metal-scrap,ahmedabad,tonne
"Recycle Iron Scrap, For Metal Industry",₹51/ kg,https://www.indiamart.com/proddetail/recycle-iron-scrap-26518064612.html,ferrous-metal-scrap,ahmedabad,kg
Cast Iron Solid Scrap,"₹19,200/ tonne",https://www.indiamart.com/proddetail/cast-iron-solid-scrap-12981434112.html,ferrous-metal-scrap,ahmedabad,tonne
"Cut Piece Iron Scrap, For Foundry Industry",₹44/ kg,https://www.indiamart.com/proddetail/cut-piece-iron-scrap-27130776288.html,ferrous-metal-scrap,ahmedabad,kg
Alloy A286 Scrap / A286 Round Bars Scrap / Alloy 286 Scrap For Foundry Industry,₹280/ kg,https://www.indiamart.com/proddetail/alloy-a286-scrap-a286-round-bars-scrap-alloy-286-scrap-6251610888.html,ferrous-metal-scrap,ahmedabad,kg
"Invar 36 Scrap / NILO 36 Scrap / Pernifer 36 Scrap, For Foundry Industry","₹2,500/ kg",https://www.indiamart.com/proddetail/invar-36-scrap-nilo-36-scrap-pernifer-36-scrap-2851303288348.html,ferrous-metal-scrap,ahmedabad,kg
Ferrous Steel Scrap,₹30/ kg,https://www.indiamart.com/proddetail/ferrous-steel-scrap-4366425897.html,ferrous-metal-scrap,ahmedabad,kg
"Steel NEW RAIL A65, For Metal Industry",₹92/ kg,https://www.indiamart.com/proddetail/new-rail-a65-2851745274491.html,ferrous-metal-scrap,ahmedabad,kg
Cast Iron Scrap,₹40/ kg,https://www.indiamart.com/mharakhjisons/,ferrous-metal-scrap,ahmedabad,kg
