category,mean,min,max,median
abs,79.07352941176471,20.0,150.0,77.5
acrylic,82.41666666666667,45.0,150.0,72.5
biopolymers,51.666666666666664,35.0,80.0,40.0
bopp,69.875,25.0,149.0,67.0
cpvc,137.5,100.0,180.0,135.0
eva,115.0,65.0,160.0,110.0
filler,85.0,85.0,85.0,85.0
gpps,99.0909090909091,40.0,150.0,100.0
hdpe,77.88669064748201,20.0,190.0,80.0
hips,69.6842105263158,36.0,120.0,60.0
hm,67.0,28.0,149.0,60.0
ldpe,69.7486187845304,18.0,170.0,70.0
lldpe,83.68211920529801,20.0,160.0,84.0
machinery,41.0,18.0,65.0,40.5
masterbatch,92.5,50.0,140.0,85.0
mlp,27.666666666666668,18.0,45.0,20.0
nylon,91.18181818181819,20.0,150.0,100.0
pa,109.0,52.0,182.0,113.0
pbt,102.8,40.0,145.0,100.0
pc,105.28205128205128,25.0,193.0,100.0
pet,55.119791666666664,18.0,180.0,45.5
plastic-waste,49.1025641025641,20.0,100.0,40.0
polyester,51.73684210526316,18.0,130.0,50.0
pom,160.0,125.0,195.0,160.0
pp,58.8272,16.0,170.0,54.0
ppcp,73.96,27.0,120.0,75.0
ppr,62.57142857142857,25.0,166.0,40.0
ps,88.4,25.0,130.0,100.0
ptmt,140.0,100.0,180.0,140.0
pvc,66.48148148148148,20.0,185.0,60.0
rubber,79.0,35.0,150.0,70.0
uhmw,20.0,20.0,20.0,20.0
upvc,75.17647058823529,21.0,166.0,70.0
xlpe,60.0,40.0,100.0,50.0
