category,mean,min,max,median
alloy-steel-scrap,112.30434782608695,25.0,400.0,75.0
aluminium-coil-scraps,139.9,26.0,360.0,120.0
aluminium-dross,92.8125,25.0,230.0,85.0
aluminium-extrusion-scrap,172.5,120.0,225.0,170.0
aluminium-foil-scrap,141.92857142857142,40.0,450.0,140.0
aluminium-scrap,145.71873479318734,24.0,480.0,145.0
aluminium-wheel-scrap,195.95833333333334,120.0,355.0,190.0
aluminum-bronze-scrap,369.09090909090907,170.0,520.0,385.0
aluminum-casting-scrap,151.71428571428572,96.0,220.0,154.0
aluminum-plates-scrap,168.375,56.0,500.0,155.5
aluminum-ubc-scrap,149.71428571428572,85.0,250.0,137.0
aluminum-wire-scrap,204.78571428571428,105.0,425.0,200.0
automobile-scrap,102.89338235294117,24.0,450.0,68.0
brass-honey-scraps,456.72,290.0,529.0,465.0
brass-scrap,421.84,136.0,535.0,450.0
cable-scrap,104.6470588235294,25.0,300.0,38.0
car-scrap,89.5625,29.0,300.0,55.0
carton-scrap,84.5,24.0,263.0,25.5
cast-iron-scraps,60.07250859106529,23.2,500.0,40.0
computer-scrap,130.0,25.0,300.0,100.0
copper-cable-scrap,228.57142857142858,115.0,365.0,200.0
copper-nickle-scrap,229.85714285714286,46.0,480.0,108.0
copper-pipe-scrap,335.8333333333333,70.0,450.0,387.5
copper-plate-scrap,337.0568333333333,62.341,500.0,360.0
copper-scrap,336.053369140625,24.0,545.0,383.5
copper-sheet-scrap,302.25,25.0,525.0,310.0
copper-wire-scrap,336.0,220.0,400.0,362.0
corrugated-box-scrap,93.0,23.0,222.0,34.0
crc-metal-scrap,46.9,28.0,140.0,43.0
crc-sheet-metal-scrap,61.5,30.0,150.0,48.0
electric-wire-scrap,128.06,25.0,325.0,100.0
electrical-scrap,135.05882352941177,25.0,400.0,114.0
electronic-scrap,151.15384615384616,25.0,400.0,105.0
ferrous-metal-scrap,135.66315789473686,23.0,540.0,60.0
ferrous-scrap,134.57758620689654,24.0,540.0,60.0
gold-scrap,300.0,100.0,500.0,300.0
hdpe-drum-scrap,83.74074074074075,50.0,118.0,87.0
hdpe-scrap,71.25,25.0,118.0,70.5
heavy-melting-copper-scrap,399.2307692307692,150.0,520.0,400.0
heavy-metal-scraps,92.25396755905511,23.0,500.0,40.0
high-speed-steel-scraps,166.3,60.0,360.0,160.0
hms-scrap,51.86488357894737,22.5,500.0,37.0
industrial-scrap,114.88150984251969,23.0,500.0,62.5
iron-scrap,50.457896373057,22.3,500.0,39.0
kraft-paper-waste,36.45,23.0,90.0,29.25
laptop-scrap,230.8125,25.0,500.0,200.0
ld-plastic-scrap,75.86363636363636,28.0,222.0,66.0
ldpe-scrap,79.82142857142857,30.0,230.0,71.5
lead-scrap,151.02857142857144,25.0,350.0,167.5
lms-scrap,72.46153846153847,25.0,455.0,40.0
magnesium-scrap,170.10714285714286,35.0,450.0,160.0
metal-scrap,119.97788198757763,22.5,535.0,47.0
mobile-phone-scrap,213.3846153846154,60.0,500.0,170.0
motherboard-scrap,153.58333333333334,28.0,300.0,175.0
motor-scrap,122.604,37.5,400.0,105.0
ms-melting-scrap,37.737037037037034,25.0,43.0,39.5
ms-pipe-scrap,54.989583333333336,35.0,160.0,45.0
ms-scraps,62.79600000000001,29.0,500.0,42.0
ms-turning-scrap,53.42,25.5,200.0,40.0
nickel-scrap,170.6,40.0,500.0,100.0
non-ferrous-metal-scraps,170.245734375,23.0,500.0,125.0
old-newspapers,30.708333333333332,24.0,50.0,28.5
paper-shreddings,175.68421052631578,35.0,300.0,200.0
pcb-scrap,115.0,25.0,220.0,117.5
pet-bottle-flake,57.114183006535946,23.0,500.0,51.0
pet-bottle-scrap,58.76923076923077,30.0,222.0,48.0
pipe-scrap,122.5,33.0,500.0,61.5
pp-scrap,60.34615384615385,30.0,95.0,55.5
pvc-scrap,58.074074074074076,25.0,105.0,60.0
rail-scrap,54.20766153846154,23.0,420.0,43.0
ram-scrap,223.33333333333334,100.0,500.0,200.0
scrap-batteries,124.54428813559322,25.0,500.0,100.0
silver-scrap,241.8,30.0,500.0,169.0
stainless-steel-scrap,122.29790419161677,24.0,500.0,102.5
stainless-steel-turning-scrap,128.84615384615384,40.0,255.0,130.0
steel-scrap,108.83474576271186,23.0,500.0,62.0
tin-scrap,91.625,30.0,250.0,50.0
waste-paper,35.63333333333333,25.0,110.0,29.5
waste-plastic,59.578947368421055,24.0,180.0,46.0
zinc-dross,162.312,30.0,270.0,170.0
